"","Astrocytes","Excitatory Neurons","Inhibitory Neurons","Microglia","OPCs","Oligodendrocytes","Vascular Cells"
"Inpp4b",5,28,24,17,11,10,9
"Inpp5a",7,17,9,1,2,5,3
"Inpp5b",8,27,23,2,7,19,2
"Inpp5d",1,7,2,14,0,5,0
"Inpp5e",4,11,5,1,1,1,1
"Inpp5f",13,21,20,5,7,17,5
"Inpp5j",3,12,13,1,0,7,1
"Inpp5k",7,16,11,5,2,10,2
"Inppl1",9,19,6,0,1,13,0
"Insc",0,2,0,0,0,6,0
"Insig1",4,4,4,1,0,4,1
"Insig2",3,9,7,2,2,3,2
"Insl5",0,1,2,0,0,0,0
"Insl6",0,1,0,0,0,0,0
"Insr",9,24,18,3,6,10,4
"Insrr",0,0,1,0,0,0,0
"Insyn1",2,2,2,0,1,1,1
"Insyn2a",1,5,4,0,0,3,0
"Insyn2b",0,0,0,0,2,0,0
"Ints1",15,48,29,1,5,17,3
"Ints10",14,24,21,7,12,19,7
"Ints11",6,18,13,3,2,9,3
"Ints12",2,6,4,1,1,3,0
"Ints13",13,20,15,7,4,14,7
"Ints14",7,14,10,4,5,6,3
"Ints2",10,28,22,1,3,16,2
"Ints3",7,29,18,4,5,13,3
"Ints4",10,20,18,3,9,15,5
"Ints6",11,20,17,4,6,10,1
"Ints6l",11,20,19,15,13,16,10
"Ints7",3,21,14,3,1,13,3
"Ints8",16,30,23,8,9,20,14
"Ints9",6,14,5,2,2,10,0
"Intu",8,13,7,0,2,5,2
"Invs",6,20,9,1,5,8,2
"Ip6k1",1,1,1,1,0,1,0
"Ip6k2",6,13,8,2,1,4,2
"Ipcef1",3,14,9,3,1,4,1
"Ipmk",3,6,6,1,3,4,1
"Ipo11",13,28,24,7,9,16,2
"Ipo13",6,20,9,2,2,17,2
"Ipo4",2,9,8,3,2,4,2
"Ipo5",13,27,20,7,5,12,0
"Ipo7",19,25,24,9,8,14,7
"Ipo8",11,26,22,3,3,12,1
"Ipo9",12,27,22,6,8,15,3
"Ipp",3,9,5,1,4,5,0
"Ippk",5,12,11,3,2,11,1
"Iqank1",2,10,3,0,0,1,0
"Iqca",0,2,0,0,0,1,0
"Iqca1l",0,6,1,0,0,1,0
"Iqcb1",8,21,18,5,10,10,3
"Iqcc",4,7,6,2,2,4,3
"Iqcd",0,3,0,0,1,1,0
"Iqce",12,34,19,3,4,10,2
"Iqcg",3,12,7,0,0,3,2
"Iqch",0,3,0,0,0,0,0
"Iqck",3,6,2,0,0,2,0
"Iqcm",0,11,3,0,0,0,0
"Iqcn",0,1,0,0,0,0,0
"Iqgap1",15,38,25,1,13,21,11
"Iqgap2",7,37,32,2,7,9,4
"Iqgap3",0,0,2,1,3,0,0
"Iqsec1",10,24,20,4,3,17,4
"Iqsec2",5,18,10,1,0,6,1
"Iqsec3",3,16,11,1,0,2,0
"Iqub",2,11,4,0,0,1,1
"Irag1",0,2,5,0,0,0,2
"Irag2",0,2,0,7,0,0,0
"Irak1",8,20,12,4,4,7,3
"Irak1bp1",4,4,3,2,3,3,2
"Irak2",9,12,5,4,2,5,2
"Irak3",0,3,0,1,0,2,2
"Irak4",2,3,2,5,1,2,0
"Ireb2",14,24,19,11,8,19,4
"Irf1",1,6,0,2,1,0,2
"Irf2",8,13,10,6,5,7,6
"Irf2bp2",1,1,1,1,0,1,0
"Irf3",5,9,6,2,2,3,2
"Irf4",0,2,2,2,0,1,0
"Irf5",0,0,0,4,0,1,0
"Irf7",3,1,0,1,0,2,5
"Irf8",0,4,2,3,0,2,0
"Irf9",1,10,4,1,0,2,2
"Irgm1",0,2,1,0,1,0,0
"Irgm2",0,0,0,1,0,0,0
"Irgq",0,2,1,0,0,0,0
"Irs1",0,1,1,0,0,0,0
"Irs2",1,1,1,0,1,1,1
"Irs4",0,1,0,0,0,0,0
"Irx1",0,0,0,0,1,0,0
"Irx2",0,0,1,0,0,0,0
"Isca1",0,0,0,0,0,0,0
"Isca2",5,5,4,2,1,3,0
"Iscu",5,6,6,1,4,5,1
"Isg15",0,0,0,0,0,0,0
"Isg20",0,1,1,0,0,0,0
"Isg20l2",0,3,2,1,0,2,0
"Isl1",0,0,2,0,0,0,0
"Islr",0,1,1,0,0,0,1
"Islr2",0,2,0,0,0,0,0
"Ism1",0,4,2,0,0,1,0
"Ism2",0,1,0,0,0,0,0
"Isoc1",2,4,2,0,1,1,1
"Isoc2a",2,4,1,0,1,1,0
"Isoc2b",1,5,5,0,0,1,0
"Ist1",9,10,10,6,6,10,3
"Isy1",1,1,1,0,0,1,0
"Isyna1",3,11,8,1,2,3,7
"Itch",17,28,24,10,11,23,8
"Itfg1",15,17,17,9,12,17,11
"Itfg2",5,10,6,2,0,4,0
"Itga1",8,10,1,0,0,2,15
"Itga10",2,11,3,0,1,0,2
"Itga11",0,10,3,0,0,1,3
"Itga2",0,0,0,1,0,0,0
"Itga2b",1,5,6,1,1,3,1
"Itga3",1,20,11,0,0,3,3
"Itga4",8,30,10,4,3,8,2
"Itga5",1,16,5,2,0,1,1
"Itga6",22,20,16,13,1,4,7
"Itga7",5,17,7,0,0,3,0
"Itga8",4,30,10,1,3,4,2
"Itga9",0,10,14,6,9,4,2
"Itgad",0,0,0,0,0,4,0
"Itgae",2,3,1,0,0,1,0
"Itgal",0,1,0,0,0,1,0
"Itgav",26,35,21,13,14,18,6
"Itgax",0,2,0,0,0,0,0
"Itgb1",14,18,15,12,14,15,12
"Itgb1bp1",4,7,6,2,2,4,3
"Itgb1bp2",0,4,0,0,0,1,0
"Itgb2",0,1,0,6,1,0,0
"Itgb3",0,9,6,4,0,4,1
"Itgb3bp",8,11,7,1,5,9,2
"Itgb4",1,13,2,1,0,12,3
"Itgb5",8,10,4,11,2,6,5
"Itgb6",0,1,0,0,0,0,0
"Itgb7",2,2,0,2,1,2,0
"Itgb8",13,14,4,1,10,12,3
"Itgbl1",0,8,4,0,0,1,7
"Itih2",1,2,1,0,0,0,7
"Itih3",18,6,4,0,1,5,0
"Itih4",2,1,1,0,0,0,0
"Itih5",8,5,3,1,1,2,12
"Itk",0,2,1,0,0,0,0
"Itm2a",1,5,3,1,0,0,5
"Itm2b",5,5,5,5,5,5,5
"Itm2c",5,5,5,2,3,5,2
"Itpa",0,7,5,0,2,1,0
"Itpk1",3,9,4,3,1,5,0
"Itpka",3,7,3,0,0,1,0
"Itpkb",4,4,2,1,0,0,1
"Itpkc",0,5,3,0,0,1,0
"Itpr1",32,66,58,11,9,39,23
"Itpr2",35,25,23,21,33,36,15
"Itpr3",1,14,0,0,0,1,4
"Itprid1",0,7,1,0,0,1,0
"Itprid2",13,16,11,6,9,14,5
"Itpripl1",0,0,0,1,0,0,0
"Itsn1",23,42,38,6,8,14,3
"Itsn2",25,42,32,15,19,34,6
"Ivd",10,15,10,4,4,6,4
"Ivns1abp",11,17,17,14,11,15,9
"Iws1",9,15,15,9,7,10,6
"Iyd",0,1,0,0,0,0,0
"Izumo1",0,2,1,0,0,0,0
"Izumo4",9,13,12,2,2,8,5
"Jade1",2,11,7,0,1,5,2
"Jade2",7,15,15,5,1,7,2
"Jade3",3,13,9,1,3,5,0
"Jag1",9,4,4,0,5,1,5
"Jag2",1,22,14,1,1,9,2
"Jagn1",0,2,1,0,1,0,0
"Jak1",17,25,20,9,5,15,6
"Jak2",13,25,23,9,13,21,7
"Jak3",1,12,7,2,0,1,0
"Jakmip1",2,9,3,1,0,1,1
"Jakmip2",10,23,20,5,5,11,6
"Jakmip3",7,27,20,2,1,19,3
"Jam2",9,9,9,6,8,8,3
"Jam3",6,8,8,5,4,8,1
"Jaml",0,5,0,0,0,0,2
"Jarid2",13,29,22,6,6,15,2
"Jazf1",1,4,4,0,0,1,1
"Jcad",2,3,2,1,0,3,1
"Jchain",0,2,0,0,0,0,0
"Jdp2",4,5,4,1,2,4,2
"Jhy",0,2,3,0,0,1,0
"Jkamp",3,6,3,2,2,2,1
"Jmjd1c",24,34,32,17,20,26,13
"Jmjd4",3,7,4,0,1,1,0
"Jmjd6",5,8,6,3,4,6,3
"Jmjd8",6,8,8,1,3,6,0
"Jmy",8,10,10,3,5,9,4
"Josd1",2,2,2,1,0,1,0
"Josd2",6,19,12,3,2,13,1
"Jph1",0,5,4,0,0,4,0
"Jph3",2,5,3,2,2,1,1
"Jph4",1,5,5,1,0,3,1
"Jpt1",3,5,4,3,3,4,1
"Jpt2",0,4,1,0,1,3,0
"Jrk",1,1,1,1,0,0,0
"Jsrp1",0,2,0,0,0,0,0
"Jtb",3,6,5,4,4,4,1
"Junb",0,1,0,0,0,0,0
"Jup",7,13,4,2,0,9,1
"Kalrn",45,75,62,10,12,45,17
"Kank1",9,7,4,1,9,13,4
"Kank2",1,1,1,1,0,1,1
"Kank3",2,10,6,1,0,5,5
"Kank4",0,3,2,0,0,0,0
"Kansl1",8,24,21,9,5,13,3
"Kansl1l",7,19,14,7,6,11,6
"Kansl2",4,10,5,2,3,7,1
"Kansl3",9,26,23,3,6,12,4
"Kantr",4,8,6,2,2,5,1
"Kap",1,2,0,0,0,0,0
"Kars",5,13,11,2,3,3,2
"Kash5",1,14,4,0,0,3,0
"Kat14",3,12,7,1,3,4,1
"Kat2a",7,18,10,2,7,10,1
"Kat2b",9,14,17,1,7,16,1
"Kat5",7,14,11,2,1,6,1
"Kat6a",13,19,16,9,5,16,6
"Kat6b",13,25,18,5,8,13,3
"Kat7",11,19,16,5,3,9,3
"Kat8",4,10,7,4,4,6,3
"Katna1",8,13,8,6,5,7,2
"Katnal1",1,6,4,1,2,3,1
"Katnal2",1,16,6,0,0,2,0
"Katnb1",8,19,10,2,1,6,2
"Katnbl1",3,6,4,2,1,5,0
"Katnip",17,28,19,0,3,14,2
"Kazald1",1,5,2,0,0,4,0
"Kazn",3,14,9,1,5,11,0
"Kbtbd11",3,4,3,1,2,2,0
"Kbtbd12",0,4,1,0,0,0,0
"Kbtbd2",4,6,5,1,2,4,1
"Kbtbd3",4,5,5,1,1,4,2
"Kbtbd4",0,5,2,0,1,2,0
"Kbtbd8",2,4,4,2,1,2,0
"Kcmf1",5,6,6,2,3,6,4
"Kcna1",1,2,1,1,1,2,1
"Kcna2",2,4,2,0,2,4,0
"Kcna4",1,2,2,1,0,1,1
"Kcna6",1,2,2,0,1,3,1
"Kcnab1",1,14,14,0,3,4,3
"Kcnab2",5,16,10,1,0,5,4
"Kcnab3",0,11,12,1,1,4,0
"Kcnb1",1,5,4,1,0,2,0
"Kcnb2",1,2,2,0,1,1,0
"Kcnc1",2,3,3,0,0,1,0
"Kcnc2",2,10,9,0,0,2,0
"Kcnc3",4,14,10,1,4,7,0
"Kcnc4",1,3,3,0,1,2,0
"Kcnd1",0,5,1,1,0,0,0
"Kcnd2",4,5,5,2,3,3,1
"Kcnd3",0,7,4,0,3,3,0
"Kcne4",0,0,0,0,0,0,0
"Kcng1",0,2,1,0,0,0,0
"Kcng2",0,0,0,0,0,0,0
"Kcng3",1,2,1,0,0,0,0
"Kcng4",0,0,0,0,0,0,0
"Kcnh1",5,14,11,3,1,6,1
"Kcnh2",0,14,10,1,1,2,0
"Kcnh3",7,15,11,2,2,6,1
"Kcnh4",4,18,6,2,1,6,1
"Kcnh5",6,13,9,2,5,9,2
"Kcnh6",0,2,2,0,0,0,0
"Kcnh7",12,19,16,5,8,13,4
"Kcnh8",1,5,3,1,5,2,0
"Kcnip1",0,6,9,0,0,1,0
"Kcnip2",2,10,11,1,1,3,1
"Kcnip3",6,11,4,2,6,5,4
"Kcnip4",5,9,7,1,1,6,1
"Kcnj10",0,1,1,0,0,1,0
"Kcnj11",0,1,0,0,0,0,0
"Kcnj12",0,1,1,0,0,0,0
"Kcnj13",0,0,0,0,0,0,0
"Kcnj14",1,0,0,0,0,0,0
"Kcnj16",1,1,0,0,0,1,0
"Kcnj2",0,1,1,0,1,1,0
"Kcnj3",2,4,4,1,1,2,0
"Kcnj4",0,1,1,0,0,0,0
"Kcnj5",0,1,0,0,0,0,0
"Kcnj6",3,7,4,2,1,4,1
"Kcnj8",0,0,0,0,0,0,1
"Kcnj9",2,5,4,0,0,2,1
"Kcnk1",3,3,3,1,1,3,1
"Kcnk10",7,11,6,0,5,3,0
"Kcnk12",0,1,1,0,0,1,0
"Kcnk13",0,4,2,0,1,2,0
"Kcnk2",3,11,6,0,3,2,2
"Kcnk3",0,1,0,0,0,0,0
"Kcnk4",1,11,5,0,1,4,1
"Kcnk5",1,0,1,0,0,1,1
"Kcnk6",0,1,0,0,0,0,0
"Kcnk9",1,1,1,0,0,1,0
"Kcnma1",23,42,40,15,14,24,10
"Kcnmb2",0,2,7,0,0,0,0
"Kcnmb4",1,5,3,0,2,1,1
"Kcnn1",1,9,2,0,0,1,0
"Kcnn2",8,13,11,1,4,5,2
"Kcnn3",5,7,3,0,1,1,0
"Kcnn4",0,0,1,0,0,0,0
"Kcnq1",0,0,2,0,0,0,1
"Kcnq2",7,31,20,5,2,11,3
"Kcnq3",6,14,14,2,5,9,4
"Kcnq4",1,6,4,0,0,2,0
"Kcnq5",7,20,13,4,5,10,3
"Kcnrg",0,1,0,0,0,0,0
"Kcns1",0,2,0,0,0,0,0
"Kcns2",0,1,1,0,0,0,0
"Kcns3",1,3,4,0,0,0,0
"Kcnt1",12,37,35,6,8,17,9
"Kcnt2",13,39,32,7,9,19,10
"Kcnu1",2,10,10,1,1,5,1
"Kcnv1",1,2,2,1,1,2,0
"Kcp",0,1,1,0,0,0,1
"Kctd1",5,6,5,1,2,3,2
"Kctd10",2,7,4,0,0,3,1
"Kctd12",0,1,0,0,0,0,0
"Kctd12b",1,0,0,0,0,1,0
"Kctd13",1,4,4,0,0,3,1
"Kctd14",1,0,0,0,0,0,0
"Kctd15",0,3,1,0,3,0,0
"Kctd16",2,4,3,1,1,2,1
"Kctd17",4,11,9,1,2,6,1
"Kctd18",3,8,6,0,1,2,0
"Kctd2",4,6,5,0,1,4,2
"Kctd20",3,8,7,1,0,3,0
"Kctd3",6,18,14,3,1,11,1
"Kctd5",4,5,4,0,0,1,1
"Kctd6",0,2,1,0,0,1,0
"Kctd7",1,2,1,0,0,1,0
"Kctd8",0,2,1,0,0,1,0
"Kctd9",3,9,11,0,2,5,0
"Kdelr1",5,7,5,3,3,4,2
"Kdelr2",2,4,3,1,4,3,1
"Kdelr3",0,1,0,0,0,0,1
"Kdm1a",9,22,14,4,5,11,4
"Kdm1b",3,18,9,3,1,10,0
"Kdm2a",14,26,21,7,13,18,3
"Kdm2b",3,21,14,4,3,8,0
"Kdm3a",15,28,20,9,10,21,9
"Kdm3b",14,26,21,9,7,11,5
"Kdm4a",12,23,15,2,5,12,1
"Kdm4b",12,28,18,2,5,11,1
"Kdm4c",19,29,21,9,13,21,9
"Kdm4d",1,2,2,0,0,1,0
"Kdm5a",25,33,31,12,13,28,10
"Kdm5b",19,28,23,9,11,20,10
"Kdm5c",11,28,18,7,4,9,3
"Kdm5d",9,30,25,5,10,20,7
"Kdm6a",22,35,30,9,15,30,6
"Kdm6b",4,22,18,3,4,9,2
"Kdm7a",13,24,18,9,8,14,10
"Kdm8",1,7,2,0,0,1,0
"Kdr",0,5,0,3,0,1,6
"Kdsr",8,10,9,5,5,7,2
"Keap1",2,8,5,2,2,2,1
"Keg1",0,0,0,0,0,0,0
"Kel",0,0,0,0,0,0,0
"Kera",0,0,0,0,0,0,0
"Khdc4",10,15,13,6,7,9,3
"Khdrbs1",7,11,12,6,5,10,5
"Khdrbs2",7,13,8,2,6,9,3
"Khdrbs3",10,20,12,7,4,10,3
"Khk",2,10,4,1,1,4,1
"Khnyn",2,7,3,3,0,2,0
"Khsrp",9,18,14,5,5,10,1
"Kics2",0,2,2,0,0,0,0
"Kidins220",33,34,31,14,23,34,12
"Kif11",2,15,10,2,10,2,0
"Kif13a",5,34,18,4,12,31,4
"Kif13b",17,41,22,11,9,30,14
"Kif14",0,13,3,0,0,1,1
"Kif15",1,11,10,1,5,6,0
"Kif16b",11,29,20,6,1,11,2
"Kif17",0,16,10,0,1,3,1
"Kif18a",4,11,6,2,3,4,0
"Kif18b",0,0,1,0,0,0,0
"Kif19a",4,1,1,1,1,12,0
"Kif19b",0,0,0,0,0,0,0
"Kif1a",30,55,49,10,9,36,10
"Kif1b",35,52,43,17,19,45,13
"Kif1c",11,22,11,0,0,5,2
"Kif20a",1,2,0,0,0,0,0
"Kif20b",3,22,12,4,10,7,0
"Kif21a",22,43,39,7,8,37,14
"Kif21b",16,36,27,13,12,27,1
"Kif22",2,8,2,2,4,2,2
"Kif23",0,23,8,0,6,2,0
"Kif24",1,3,4,0,4,2,0
"Kif26a",0,4,1,0,1,1,1
"Kif26b",0,10,10,0,1,1,0
"Kif27",0,16,3,1,0,0,0
"Kif28",0,2,0,0,0,0,0
"Kif2a",17,25,20,9,14,16,11
"Kif2c",0,0,1,0,1,1,0
"Kif3a",13,25,20,4,16,18,10
"Kif3b",2,8,5,1,2,4,0
"Kif3c",3,8,6,0,2,3,0
"Kif4",1,1,3,0,2,0,0
"Kif5a",18,28,28,7,8,17,6
"Kif5b",17,25,21,10,9,20,14
"Kif5c",18,27,26,8,12,18,7
"Kif6",0,12,4,0,0,11,0
"Kif7",4,4,2,0,1,3,0
"Kif9",1,19,9,0,0,1,0
"Kifap3",17,23,21,6,8,17,5
"Kifbp",4,8,5,2,4,6,3
"Kifc1",0,4,4,0,2,3,0
"Kifc2",7,19,19,2,4,11,2
"Kifc3",14,23,10,2,7,5,2
"Kifc5b",1,6,5,1,2,3,0
"Kin",4,8,4,2,2,6,1
"Kirrel",2,5,7,0,0,0,2
"Kirrel2",8,4,0,0,0,0,0
"Kirrel3",6,20,19,0,2,11,0
"Kiss1r",1,3,3,0,0,1,0
"Kit",1,19,19,2,5,11,3
"Kitl",6,10,11,1,0,4,5
"Kiz",9,14,13,5,6,10,6
"Kl",0,1,0,1,0,0,0
"Klc1",11,22,15,5,11,17,6
"Klc2",4,16,12,4,4,5,1
"Klc3",4,5,2,0,4,3,1
"Klc4",2,13,10,2,3,4,5
"Klf10",0,3,1,0,0,0,0
"Klf11",0,3,2,1,1,1,0
"Klf12",5,10,11,1,4,4,2
"Klf13",2,3,2,1,1,2,1
"Klf15",1,3,2,0,0,1,0
"Klf16",0,1,1,0,0,0,0
"Klf2",1,2,1,0,0,0,2
"Klf3",4,6,5,5,2,4,0
"Klf4",0,2,1,0,0,0,2
"Klf5",2,3,3,0,0,3,1
"Klf6",2,5,2,1,0,3,0
"Klf7",3,6,3,3,2,4,2
"Klf8",1,10,4,0,0,2,0
"Klf9",1,1,1,0,0,1,1
"Klhdc1",5,16,14,2,5,7,1
"Klhdc10",1,10,5,2,1,5,1
"Klhdc2",8,12,11,5,4,10,3
"Klhdc3",1,11,11,0,2,7,0
"Klhdc4",4,12,10,2,5,3,0
"Klhdc8a",0,4,2,0,0,1,1
"Klhdc8b",2,10,7,2,0,2,4
"Klhdc9",1,2,1,0,0,1,0
"Klhl1",1,11,6,0,1,3,0
"Klhl10",0,0,0,0,0,0,0
"Klhl11",1,1,1,1,1,1,1
"Klhl12",3,11,8,1,2,5,0
"Klhl13",3,6,11,1,3,4,2
"Klhl14",0,2,3,0,0,0,0
"Klhl15",4,8,5,0,1,2,0
"Klhl17",7,13,11,5,1,7,1
"Klhl18",3,10,6,1,0,2,1
"Klhl2",5,17,12,3,3,17,3
"Klhl20",4,13,11,3,2,10,2
"Klhl21",0,3,1,0,0,0,0
"Klhl22",2,8,7,0,2,5,1
"Klhl23",2,4,3,1,1,2,2
"Klhl24",4,11,5,3,2,6,1
"Klhl25",0,1,0,0,0,0,0
"Klhl26",0,2,1,0,0,1,0
"Klhl28",4,4,4,1,2,2,0
"Klhl29",2,13,10,1,1,2,0
"Klhl3",2,15,6,1,1,1,0
"Klhl30",0,1,0,0,0,0,0
"Klhl32",8,16,10,0,6,7,1
"Klhl33",0,3,3,0,0,0,0
"Klhl35",1,5,2,0,0,2,0
"Klhl36",2,2,2,1,1,1,1
"Klhl38",0,1,0,0,0,0,0
"Klhl4",0,9,7,0,0,9,1
"Klhl40",2,5,2,0,0,2,0
"Klhl41",0,3,1,0,0,0,0
"Klhl42",0,2,2,0,0,2,0
"Klhl5",9,11,8,2,6,8,1
"Klhl6",0,1,0,3,0,0,0
"Klhl7",6,14,11,5,7,8,5
"Klhl8",3,9,8,0,1,5,2
"Klk1",0,0,0,0,0,0,0
"Klk13",0,0,0,0,1,0,0
"Klk1b3",0,2,1,0,0,0,0
"Klk6",0,1,2,0,0,5,0
"Klk8",0,2,1,1,1,2,0
"Klk9",0,0,0,0,0,1,0
"Klra2",0,3,1,0,0,0,0
"Klra4",0,0,0,0,0,0,0
"Klrb1a",0,0,0,0,0,0,0
"Klrb1c",0,0,0,1,0,0,0
"Klrb1f",0,0,0,1,0,0,0
"Klrc2",0,0,0,1,0,0,0
"Klrd1",0,0,0,2,0,0,0
"Klre1",0,1,1,0,0,0,0
"Klrg1",0,2,1,0,0,0,0
"Klrg2",0,1,0,0,0,1,0
"Klri1",0,0,0,0,0,0,0
"Klrk1",0,0,0,0,0,0,0
"Kmo",0,0,0,0,0,0,0
"Kmt2a",28,37,36,17,13,31,15
"Kmt2b",14,36,27,3,5,12,1
"Kmt2c",40,67,56,21,16,53,20
"Kmt2d",31,56,50,17,17,30,11
"Kmt2e",23,37,27,13,16,20,15
"Kmt5a",6,11,9,4,5,8,2
"Kmt5b",9,17,13,8,8,11,6
"Kmt5c",2,6,4,1,1,5,0
"Kndc1",3,30,21,1,1,28,3
"Kng2",0,0,0,0,0,0,0
"Knl1",3,4,4,0,9,3,0
"Knop1",5,7,5,3,1,3,1
"Knstrn",1,4,4,0,3,0,0
"Kntc1",0,11,3,0,4,3,0
"Kpna1",10,16,17,6,5,13,5
"Kpna2",2,8,5,2,2,2,2
"Kpna3",13,17,16,8,8,13,5
"Kpna4",12,16,16,4,5,11,3
"Kpna6",10,13,13,4,4,10,2
"Kpna7",0,0,0,0,0,0,0
"Kpnb1",14,21,21,10,7,18,5
"Kptn",4,10,5,1,1,5,2
"Kras",5,7,7,4,4,4,3
"Krba1",9,20,15,2,3,10,1
"Krcc1",0,3,2,2,0,2,1
"Kremen1",2,8,4,1,4,3,1
"Kremen2",0,0,0,0,0,0,0
"Kri1",6,16,14,2,2,7,2
"Krit1",13,22,17,7,11,17,4
"Krr1",7,9,7,3,5,7,3
"Krt1",0,0,0,0,0,0,0
"Krt10",2,5,2,1,2,2,1
"Krt12",1,4,1,0,0,1,0
"Krt17",0,2,1,0,0,0,0
"Krt18",0,0,1,0,0,0,0
"Krt19",0,0,0,0,0,0,1
"Krt2",0,0,1,0,0,0,0
"Krt222",3,6,6,1,2,2,1
"Krt24",0,1,0,0,0,0,0
"Krt25",0,1,1,0,0,0,0
"Krt26",0,1,0,0,0,0,0
"Krt28",0,1,0,0,0,1,0
"Krt42",0,1,0,0,0,0,0
"Krt7",0,2,1,0,0,1,0
"Krt73",0,0,1,0,0,0,0
"Krt75",0,0,0,0,0,0,0
"Krt77",0,5,0,0,0,0,0
"Krt80",0,6,0,0,0,0,0
"Krt83",0,0,0,0,0,0,0
"Krt9",0,6,4,0,0,0,0
"Krtap5-2",0,1,0,0,0,0,0
"Krtcap2",4,6,6,3,3,5,3
"Krtcap3",4,6,4,1,3,3,1
"Ksr1",4,18,11,1,2,7,0
"Ksr2",1,20,13,0,0,2,0
"Ktn1",43,54,47,22,20,47,25
"Kxd1",5,7,7,2,1,5,0
"Ky",5,6,3,1,0,2,0
"Kyat1",5,12,8,0,2,3,0
"Kyat3",6,6,3,0,0,4,0
"Kynu",0,1,0,0,0,0,0
"L1cam",7,30,23,3,3,9,1
"L2hgdh",4,8,7,3,2,4,1
"L3hypdh",2,4,5,0,1,1,0
"L3mbtl1",1,27,8,0,1,1,0
"L3mbtl2",5,17,12,1,3,5,0
"L3mbtl3",10,22,18,5,5,10,1
"L3mbtl4",1,14,4,0,0,1,0
"Lacc1",4,5,4,5,1,2,3
"Lactb",4,5,5,4,3,3,3
"Lactb2",5,7,8,6,3,6,5
"Lactbl1",0,1,0,0,0,0,0
"Lad1",0,0,0,0,2,1,0
"Lag3",1,3,3,4,0,2,1
"Lage3",2,3,3,1,2,3,2
"Lair1",2,7,1,6,0,3,0
"Lalba",0,0,1,0,0,0,0
"Lama1",0,8,13,0,2,1,19
"Lama2",45,42,5,0,1,35,18
"Lama3",28,26,34,0,0,4,2
"Lama4",3,35,23,0,5,8,14
"Lama5",10,16,13,0,0,3,2
"Lamb1",3,21,23,1,0,4,8
"Lamb2",15,4,2,1,1,2,15
"Lamb3",0,9,1,0,0,0,0
"Lamc1",10,27,16,1,9,18,10
"Lamc2",3,20,6,0,0,1,2
"Lamc3",0,2,0,0,0,0,7
"Lamp1",7,8,10,6,8,8,5
"Lamp2",9,10,11,9,8,11,8
"Lamp5",5,7,5,0,1,4,0
"Lamtor1",1,5,4,2,1,1,0
"Lamtor2",4,7,7,3,3,4,3
"Lamtor3",2,8,6,0,2,5,0
"Lamtor3-ps",0,0,0,0,0,0,0
"Lamtor4",2,3,3,1,1,3,2
"Lamtor5",3,4,3,1,2,3,1
"Lancl1",8,9,9,6,5,9,4
"Lancl2",5,10,7,0,0,5,1
"Lancl3",0,4,4,0,0,0,0
"Lao1",1,0,0,0,0,0,0
"Lap3",10,12,9,3,4,12,1
"Laptm4a",6,7,6,6,5,6,4
"Laptm4b",3,6,6,1,1,5,1
"Laptm5",1,4,1,6,0,3,0
"Large1",10,19,16,7,6,13,5
"Large2",0,2,0,0,0,0,0
"Larp1",9,20,19,11,5,13,3
"Larp1b",10,20,15,1,2,6,5
"Larp4",9,15,13,5,7,7,4
"Larp4b",10,19,17,6,5,11,2
"Larp6",1,2,2,0,0,2,1
"Larp7",8,11,8,6,5,6,1
"Lars",16,36,31,12,13,21,9
"Lars2",2,19,9,2,3,7,2
"Las1l",10,14,11,5,6,9,3
"Lasp1",5,9,5,2,1,1,0
"Lat",1,3,3,1,0,1,0
"Lat2",0,3,1,1,0,2,0
"Lats1",4,8,5,3,2,6,1
"Lats2",0,0,0,0,0,0,0
"Lax1",0,2,0,0,0,0,0
"Layn",2,9,5,1,2,1,3
"Lbh",2,2,2,0,2,2,1
"Lbhd2",0,1,0,0,0,0,0
"Lbp",0,1,0,0,0,0,3
"Lbr",7,13,9,4,7,11,1
"Lbx2",0,0,0,0,0,0,0
"Lca5",7,12,11,0,2,5,3
"Lca5l",0,7,2,0,0,0,0
"Lcat",3,2,1,0,0,1,0
"Lck",0,6,0,1,0,0,0
"Lclat1",3,10,6,2,0,5,2
"Lcmt1",8,14,10,3,3,8,4
"Lcmt2",0,0,0,0,0,0,0
"Lcn2",0,0,0,0,0,0,2
"Lcn3",1,0,0,0,0,0,0
"Lcn6",0,0,0,0,0,0,0
"Lcn8",0,0,0,0,0,0,0
"Lcor",7,16,14,5,6,7,5
"Lcorl",8,15,11,9,10,12,3
"Lcp1",0,7,2,7,0,5,0
"Lcp2",0,0,1,6,0,1,1
"Lct",0,1,0,0,0,0,0
"Lctl",0,0,0,0,0,3,0
"Ldah",7,12,10,3,6,9,2
"Ldb1",8,12,11,7,4,6,4
"Ldb2",3,10,5,2,2,6,3
"Ldb3",1,7,4,0,0,7,0
"Ldc1",0,1,0,0,0,0,0
"Ldha",5,8,6,1,3,6,1
"Ldhb",7,9,10,5,3,7,4
"Ldhc",0,1,0,0,0,0,0
"Ldhd",4,8,9,1,1,7,1
"Ldlr",12,14,6,1,0,8,2
"Ldlrad1",0,1,0,0,0,0,0
"Ldlrad3",2,7,5,1,1,6,2
"Ldlrad4",1,7,5,1,2,7,0
"Ldlrap1",2,5,1,1,0,6,2
"Leap2",0,0,0,0,0,0,0
"Lef1",6,0,0,0,0,0,4
